onset	duration	nwb_table	ses_ID	ses_Name	cond_Name	cond_ID	target_rot	rep_num	pdOn	pdOff
27.038	0.9000000000000021	trials	80	s080_J210522	grCe_grSu12SmCiNe_PS	21	45.0	5	27.338	27.637
27.637999999999998	0.9000000000000021	trials	80	s080_J210522	grCe_grSu12SmCiNe_PS	21	135.0	5	27.938	28.237
31.346999999999998	0.9000000000000021	trials	80	s080_J210522	coCe_grSu6Ne	17	315.0	5	31.647	31.946
31.947	0.9000000000000021	trials	80	s080_J210522	grCe_grSu6Ne_PS	18	45.0	5	32.247	32.546
32.547000000000004	0.8999999999999986	trials	80	s080_J210522	coCe	16	180.0	5	32.847	33.146
37.647000000000006	0.8999999999999986	trials	80	s080_J210522	grCe_grSu6CiNe_PS	19	135.0	5	37.947	38.247
41.831	0.8999999999999986	trials	80	s080_J210522	grCe_grSu12SmCiNe	13	270.0	5	42.131	42.431
42.431000000000004	0.8999999999999986	trials	80	s080_J210522	grCe_grSu6CiNe	15	180.0	5	42.731	43.031
45.948	0.8999999999999986	trials	80	s080_J210522	grCe_grSu12Mi	9	45.0	5	46.248	46.548
46.557	0.8999999999999986	trials	80	s080_J210522	grCe_grSu3Ne	5	180.0	5	46.857	47.156
47.157000000000004	0.8999999999999986	trials	80	s080_J210522	coCe	16	225.0	5	47.457	47.757
52.033	0.8999999999999986	trials	80	s080_J210522	grCe_grSu12SmCiNe	13	315.0	5	52.333	52.632
55.95	0.8999999999999986	trials	80	s080_J210522	grCe	1	315.0	5	56.25	56.549
56.7	0.8999999999999986	trials	80	s080_J210522	grCe_grSu18Fa	11	315.0	5	57.0	57.299
57.300000000000004	0.8999999999999986	trials	80	s080_J210522	grCe_grSu6Ne_PS	18	225.0	5	57.6	57.899
65.434	0.8999999999999915	trials	80	s080_J210522	coSu6Ne	20		5	65.734	66.034
66.043	0.8999999999999915	trials	80	s080_J210522	coCe_grSu6Ne	17	270.0	5	66.343	66.642
66.659	0.8999999999999915	trials	80	s080_J210522	grCe_grSu6CiNe_PS	19	180.0	5	66.959	67.259
71.685	0.8999999999999915	trials	80	s080_J210522	grCe_grSu6Ne	7	45.0	5	71.985	72.285
72.285	0.8999999999999915	trials	80	s080_J210522	grCe_grSu6Ne_PS	18	270.0	5	72.585	72.885
72.885	0.8999999999999915	trials	80	s080_J210522	grSu1Ne	2		5	73.185	73.485
78.028	0.8999999999999915	trials	80	s080_J210522	coCe_grSu6Ne	17	180.0	5	78.328	78.627
78.63600000000001	0.8999999999999915	trials	80	s080_J210522	grSu6Ne	6		5	78.936	79.236
79.236	0.8999999999999915	trials	80	s080_J210522	grCe_grSu6Ne_PS	18	315.0	5	79.536	79.836
85.61200000000001	0.8999999999999915	trials	80	s080_J210522	grSu12SmCiNe	12		5	85.912	86.211
93.68	0.8999999999999915	trials	80	s080_J210522	coCe	16	270.0	5	93.98	94.279
94.28	0.8999999999999915	trials	80	s080_J210522	grCe_grSu6Ne	7	135.0	5	94.58	94.879
