onset	duration	nwb_table	ses_ID	ses_Name	cond_Name	cond_ID	target_rot	rep_num	pdOn	pdOff
31.861	0.9000000000000021	trials	85	s085_J210526	grCe_grSu6Ne	7	90.0	7	32.161	32.46
35.328	0.8999999999999986	trials	85	s085_J210526	grCe_grSu1Ne	3	180.0	7	35.628	35.927
35.928000000000004	0.8999999999999986	trials	85	s085_J210526	grCe_grSu6CiNe	15	225.0	7	36.228	36.527
36.528000000000006	0.8999999999999986	trials	85	s085_J210526	grSu6CiNe	14		7	36.828	37.127
41.495000000000005	0.8999999999999986	trials	85	s085_J210526	grCe_grSu1Ne	3	270.0	7	41.795	42.095
42.095000000000006	0.8999999999999986	trials	85	s085_J210526	grCe_grSu6CiNe	15	135.0	7	42.395	42.695
42.695	0.8999999999999986	trials	85	s085_J210526	coCe	16	315.0	7	42.995	43.295
51.021	0.8999999999999986	trials	85	s085_J210526	coCe	16	0.0	7	51.321	51.621
51.63	0.8999999999999986	trials	85	s085_J210526	grCe_grSu18Fa	11	135.0	7	51.93	52.229
52.230000000000004	0.8999999999999986	trials	85	s085_J210526	grCe_grSu6CiNe_PS	19	315.0	7	52.53	52.829
57.139	0.8999999999999986	trials	85	s085_J210526	grCe	1	225.0	7	57.439	57.738
57.739000000000004	0.8999999999999986	trials	85	s085_J210526	coCe_grSu6Ne	17	180.0	7	58.039	58.338
58.347	0.8999999999999986	trials	85	s085_J210526	grCe_grSu12Mi	9	270.0	7	58.647	58.947
63.073	0.8999999999999986	trials	85	s085_J210526	grCe_grSu6Ne	7	0.0	7	63.373	63.673
63.673	0.8999999999999915	trials	85	s085_J210526	grSu12Mi	8		7	63.973	64.273
64.273	0.8999999999999915	trials	85	s085_J210526	grCe_grSu6Ne_PS	18	180.0	7	64.573	64.873
69.174	0.8999999999999915	trials	85	s085_J210526	grCe_grSu18Fa	11	45.0	7	69.474	69.773
69.774	0.8999999999999915	trials	85	s085_J210526	grCe_grSu6Ne_PS	18	270.0	7	70.074	70.373
75.266	0.8999999999999915	trials	85	s085_J210526	grCe_grSu12SmCiNe_PS	21	225.0	7	75.566	75.866
75.866	0.8999999999999915	trials	85	s085_J210526	grCe_grSu3Ne	5	135.0	7	76.166	76.466
76.46600000000001	0.8999999999999915	trials	85	s085_J210526	grCe_grSu3Ne	5	45.0	7	76.766	77.066
