onset	duration	nwb_table	ses_ID	ses_Name	cond_Name	cond_ID	target_rot	rep_num	pdOn	pdOff
28.910999999999998	0.9000000000000021	trials	42	s042_F200619	grCe_grSu6CiNe_PS	19	90.0	7	29.211	29.511
29.511	0.9000000000000021	trials	42	s042_F200619	coCe	16	0.0	7	29.811	30.111
30.111	0.9000000000000021	trials	42	s042_F200619	grCe_grSu12SmCiNe_PS	21	315.0	7	30.411	30.711
34.537000000000006	0.8999999999999986	trials	42	s042_F200619	grCe_grSu18Fa	11	90.0	7	34.837	35.137
38.054	0.8999999999999986	trials	42	s042_F200619	coCe_grSu6Ne	17	45.0	7	38.354	38.654
38.688	0.8999999999999986	trials	42	s042_F200619	grCe_grSu6CiNe	15	45.0	7	38.988	39.287
39.296	0.8999999999999986	trials	42	s042_F200619	grCe_grSu6Ne_PS	18	315.0	7	39.596	39.896
39.913000000000004	0.8999999999999986	trials	42	s042_F200619	coCe	16	135.0	7	40.213	40.512
40.529	0.8999999999999986	trials	42	s042_F200619	grCe_grSu18Fa	11	225.0	7	40.829	41.129
47.264	0.8999999999999986	trials	42	s042_F200619	grSu6CiNe	14		7	47.564	47.863
48.497	0.8999999999999986	trials	42	s042_F200619	grCe_grSu6CiNe	15	90.0	7	48.797	49.097
49.106	0.8999999999999986	trials	42	s042_F200619	grCe_grSu6CiNe	15	135.0	7	49.406	49.705
49.714000000000006	0.8999999999999986	trials	42	s042_F200619	grCe	1	0.0	7	50.014	50.314
63.724000000000004	0.8999999999999915	trials	42	s042_F200619	grCe_grSu6CiNe	15	180.0	7	64.024	64.324
64.349	0.8999999999999915	trials	42	s042_F200619	grSu1Ne	2		7	64.649	64.949
64.949	0.8999999999999915	trials	42	s042_F200619	grCe_grSu6Ne_PS	18	0.0	7	65.249	65.549
65.558	0.8999999999999915	trials	42	s042_F200619	grCe_grSu12Mi	9	270.0	7	65.858	66.157
66.166	0.8999999999999915	trials	42	s042_F200619	grCe_grSu1Ne	3	45.0	7	66.466	66.766
73.47500000000001	0.8999999999999915	trials	42	s042_F200619	grCe_grSu18Fa	11	180.0	7	73.775	74.075
74.084	0.8999999999999915	trials	42	s042_F200619	grSu12Mi	8		7	74.384	74.683
74.69200000000001	0.8999999999999915	trials	42	s042_F200619	grCe_grSu6CiNe	15	270.0	7	74.992	75.292
78.309	0.8999999999999915	trials	42	s042_F200619	coCe_grSu6Ne	17	135.0	7	78.609	78.909
78.909	0.8999999999999915	trials	42	s042_F200619	grCe_grSu6CiNe_PS	19	135.0	7	79.209	79.509
79.518	0.8999999999999915	trials	42	s042_F200619	grCe_grSu12Mi	9	225.0	7	79.818	80.118
80.11800000000001	0.8999999999999915	trials	42	s042_F200619	grCe_grSu6CiNe_PS	19	180.0	7	80.418	80.718
80.726	0.8999999999999915	trials	42	s042_F200619	grCe_grSu6Ne	7	135.0	7	81.026	81.326
88.069	0.8999999999999915	trials	42	s042_F200619	grCe_grSu6CiNe_PS	19	0.0	7	88.369	88.669
88.677	0.8999999999999915	trials	42	s042_F200619	grSu12SmCiNe	12		7	88.977	89.277
89.277	0.8999999999999915	trials	42	s042_F200619	coCe_grSu6Ne	17	315.0	7	89.577	89.877
89.911	0.8999999999999915	trials	42	s042_F200619	grCe_grSu1Ne	3	225.0	7	90.211	90.511
97.253	0.8999999999999915	trials	42	s042_F200619	NoStim	0		7	97.553	97.853
97.86200000000001	0.8999999999999915	trials	42	s042_F200619	grCe_grSu18Fa	11	315.0	7	98.162	98.462
99.67	0.8999999999999915	trials	42	s042_F200619	grCe_grSu12SmCiNe	13	315.0	7	99.97	100.27
106.372	0.8999999999999915	trials	42	s042_F200619	grCe_grSu6Ne_PS	18	180.0	7	106.672	106.972
106.97200000000001	0.8999999999999915	trials	42	s042_F200619	grCe_grSu6Ne	7	315.0	7	107.272	107.572
