onset	duration	nwb_table	ses_ID	ses_Name	cond_Name	cond_ID	target_rot	rep_num	pdOn	pdOff
29.579	0.9000000000000021	trials	87	s087_J210527	grSu6Ne	6		1	29.879	30.178
35.046	0.8999999999999986	trials	87	s087_J210527	coCe_grSu6Ne	17	90.0	1	35.346	35.645
35.646	0.8999999999999986	trials	87	s087_J210527	grCe_grSu6Ne_PS	18	315.0	1	35.946	36.246
41.072	0.8999999999999986	trials	87	s087_J210527	grCe_grSu12Mi	9	180.0	1	41.372	41.671
48.481	0.8999999999999986	trials	87	s087_J210527	grCe_grSu6CiNe	15	135.0	1	48.781	49.081
52.515	0.8999999999999986	trials	87	s087_J210527	grCe_grSu6Ne_PS	18	225.0	1	52.815	53.114
53.123000000000005	0.8999999999999986	trials	87	s087_J210527	grCe_grSu12Mi	9	270.0	1	53.423	53.723
53.723000000000006	0.8999999999999986	trials	87	s087_J210527	grCe	1	0.0	1	54.023	54.323
58.657000000000004	0.8999999999999986	trials	87	s087_J210527	NoStim	0		1	58.957	59.257
59.266000000000005	0.8999999999999986	trials	87	s087_J210527	grCe_grSu1Ne	3	180.0	1	59.566	59.865
59.874	0.8999999999999986	trials	87	s087_J210527	grCe_grSu6Ne	7	180.0	1	60.174	60.474
71.709	0.8999999999999915	trials	87	s087_J210527	grCe_grSu6CiNe	15	0.0	1	72.009	72.309
72.31700000000001	0.8999999999999915	trials	87	s087_J210527	coCe_grSu6Ne	17	135.0	1	72.617	72.917
84.37700000000001	0.8999999999999915	trials	87	s087_J210527	coCe	16	45.0	1	84.677	84.977
84.986	0.8999999999999915	trials	87	s087_J210527	grCe_grSu6Ne	7	225.0	1	85.286	85.585
85.59400000000001	0.8999999999999915	trials	87	s087_J210527	grCe_grSu6CiNe_PS	19	0.0	1	85.894	86.194
90.545	0.8999999999999915	trials	87	s087_J210527	coCe_grSu6Ne	17	0.0	1	90.845	91.144
94.02	0.8999999999999915	trials	87	s087_J210527	grCe_grSu1Ne	3	90.0	1	94.32	94.62
94.629	0.8999999999999915	trials	87	s087_J210527	grCe_grSu12Mi	9	45.0	1	94.929	95.228
95.23700000000001	0.8999999999999915	trials	87	s087_J210527	grSu6CiNe	14		1	95.537	95.837
100.188	0.8999999999999915	trials	87	s087_J210527	coCe	16	90.0	1	100.488	100.787
100.796	0.8999999999999915	trials	87	s087_J210527	grCe_grSu3Ne	5	270.0	1	101.096	101.396
101.396	0.8999999999999915	trials	87	s087_J210527	grCe	1	270.0	1	101.696	101.996
109.764	0.8999999999999915	trials	87	s087_J210527	grCe_grSu12SmCiNe_PS	21	180.0	1	110.064	110.363
116.61500000000001	0.8999999999999915	trials	87	s087_J210527	grCe_grSu3Ne	5	315.0	1	116.915	117.214
124.24900000000001	0.8999999999999915	trials	87	s087_J210527	grCe_grSu6Ne_PS	18	45.0	1	124.549	124.849
125.46600000000001	0.8999999999999915	trials	87	s087_J210527	grCe_grSu6CiNe_PS	19	180.0	1	125.766	126.066
130.42499999999998	0.9000000000000057	trials	87	s087_J210527	grCe_grSu6CiNe_PS	19	225.0	1	130.725	131.024
131.033	0.9000000000000057	trials	87	s087_J210527	grCe_grSu6CiNe	15	315.0	1	131.333	131.633
131.642	0.9000000000000057	trials	87	s087_J210527	grCe_grSu3Ne	5	180.0	1	131.942	132.241
136.551	0.9000000000000057	trials	87	s087_J210527	grCe_grSu1Ne	3	45.0	1	136.851	137.15
146.444	0.9000000000000057	trials	87	s087_J210527	grCe_grSu18Fa	11	90.0	1	146.744	147.043
147.04399999999998	0.9000000000000057	trials	87	s087_J210527	coCe	16	315.0	1	147.344	147.643
152.47799999999998	0.9000000000000057	trials	87	s087_J210527	grCe_grSu6CiNe	15	180.0	1	152.778	153.077
153.095	0.9000000000000057	trials	87	s087_J210527	grCe_grSu12Mi	9	315.0	1	153.395	153.694
153.70299999999997	0.9000000000000057	trials	87	s087_J210527	grCe_grSu6CiNe_PS	19	45.0	1	154.003	154.303
159.32899999999998	0.9000000000000057	trials	87	s087_J210527	grCe_grSu18Fa	11	180.0	1	159.629	159.928
169.005	0.9000000000000057	trials	87	s087_J210527	coCe_grSu6Ne	17	315.0	1	169.305	169.604
176.13899999999998	0.9000000000000057	trials	87	s087_J210527	grCe_grSu6Ne	7	315.0	1	176.439	176.739
176.748	0.9000000000000057	trials	87	s087_J210527	grCe_grSu1Ne	3	315.0	1	177.048	177.347
177.34799999999998	0.9000000000000057	trials	87	s087_J210527	grCe	1	180.0	1	177.648	177.947
182.857	0.9000000000000057	trials	87	s087_J210527	grCe_grSu6Ne	7	135.0	1	183.157	183.456
183.46499999999997	0.9000000000000057	trials	87	s087_J210527	grSu1Ne	2		1	183.765	184.065
188.42399999999998	0.9000000000000057	trials	87	s087_J210527	grCe_grSu12SmCiNe	13	0.0	1	188.724	189.024
189.024	0.9000000000000057	trials	87	s087_J210527	coCe	16	270.0	1	189.324	189.624
194.658	0.9000000000000057	trials	87	s087_J210527	grCe_grSu12SmCiNe	13	90.0	1	194.958	195.258
195.27499999999998	0.9000000000000057	trials	87	s087_J210527	grCe_grSu18Fa	11	225.0	1	195.575	195.875
195.88299999999998	0.9000000000000057	trials	87	s087_J210527	grCe_grSu6Ne_PS	18	0.0	1	196.183	196.483
200.73399999999998	0.9000000000000057	trials	87	s087_J210527	grCe_grSu12Mi	9	135.0	1	201.034	201.334
201.33399999999997	0.9000000000000057	trials	87	s087_J210527	grCe_grSu6CiNe_PS	19	270.0	1	201.634	201.934
201.94299999999998	0.9000000000000057	trials	87	s087_J210527	grCe_grSu6CiNe	15	270.0	1	202.243	202.542
207.48499999999999	0.9000000000000057	trials	87	s087_J210527	grCe_grSu18Fa	11	45.0	1	207.785	208.084
208.093	0.9000000000000057	trials	87	s087_J210527	grCe_grSu6CiNe	15	45.0	1	208.393	208.693
